codice_articolo,tipo_collo_1,tipo_collo_2,unita_misura_2,operatore_conversione,fattore_conversione
.                   ,,,,*,0.0000
..                  ,,,,*,0.0000
005.010150          ,REP05,,,*,0.0000
005.010200          ,REP05,,,*,0.0000
005.010250          ,REP05,,,*,0.0000
005.010300          ,REP05,,,*,0.0000
005.010350          ,REP05,     ,,*,0.0000
005.010400          ,REP05,     ,,*,0.0000
005.010450          ,REP05,     ,,*,0.0000
005.010500          ,REP05,,,*,0.0000
005.010550          ,REP05,     ,,*,0.0000
005.010600          ,REP05,,,*,0.0000
005.010650          ,REP05,     ,,*,0.0000
005.010670          ,REP05,     ,,*,0.0000
005.010700          ,REP05,     ,,*,0.0000
005.010750          ,REP05,,,*,0.0000
005.010800          ,REP05,     ,,*,0.0000
005.010850          ,REP05,     ,,*,0.0000
005.010900          ,REP05,     ,,*,0.0000
005.010950          ,REP05,     ,,*,0.0000
005.011000          ,REP05,,,*,0.0000
005.011050          ,REP05,     ,,*,0.0000
005.011100          ,REP05,,,*,0.0000
005.011200          ,REP05,,,*,0.0000
005.011250          ,REP05,     ,,*,0.0000
005.011300          ,REP05,     ,,*,0.0000
005.888251          ,REP05,     ,,*,0.0000
0056/2              ,REP05,,,*,0.0000
0064                ,REP05,,,*,0.0000
007.021225          ,REP05,     ,,*,0.0000
007.021350          ,REP05,     ,,*,0.0000
007.021400          ,REP05,,,*,0.0000
007.021450          ,REP05,     ,,*,0.0000
007.021500          ,REP05,     ,,*,0.0000
007.021550          ,REP05,     ,,*,0.0000
007.021600          ,REP05,     ,,*,0.0000
007.021650          ,REP05,     ,,*,0.0000
007.021700          ,REP05,     ,,*,0.0000
007.021750          ,REP05,     ,,*,0.0000
007.021800          ,REP05,     ,,*,0.0000
007.021850          ,REP05,     ,,*,0.0000
007.021900          ,REP05,     ,,*,0.0000
007.022000          ,REP05,     ,,*,0.0000
007.070300          ,REP05,     ,,*,0.0000
007.070350          ,REP05,     ,,*,0.0000
007.070400          ,REP05,     ,,*,0.0000
007.070450          ,REP05,     ,,*,0.0000
007.070500          ,REP05,     ,,*,0.0000
007.070550          ,REP05,     ,,*,0.0000
007.070575          ,REP05,     ,,*,0.0000
007.070600          ,REP05,     ,,*,0.0000
007.070800          ,REP05,,,*,0.0000
007.071000          ,REP05,,,*,0.0000
007.072000          ,REP05,     ,,*,0.0000
007.090575          ,REP05,,,*,0.0000
007.290100          ,REP05,     ,,*,0.0000
007.290150          ,REP05,     ,,*,0.0000
007.290200          ,REP05,     ,,*,0.0000
007.290250          ,REP05,     ,,*,0.0000
007.290300          ,REP05,     ,,*,0.0000
007.290350          ,REP05,     ,,*,0.0000
007.290400          ,REP05,     ,,*,0.0000
007.290450          ,REP05,     ,,*,0.0000
007.290500          ,REP05,     ,,*,0.0000
007.290550          ,REP05,     ,,*,0.0000
007.290575          ,REP05,     ,,*,0.0000
007.290600          ,REP05,     ,,*,0.0000
007.290650          ,REP05,     ,,*,0.0000
007.290700          ,REP05,     ,,*,0.0000
007.290750          ,REP05,     ,,*,0.0000
007.290800          ,REP05,     ,,*,0.0000
007.290850          ,REP05,     ,,*,0.0000
007.290900          ,REP05,     ,,*,0.0000
007.290950          ,REP05,     ,,*,0.0000
007.291000          ,REP05,     ,,*,0.0000
007.291050          ,REP05,     ,,*,0.0000
007.291100          ,REP05,     ,,*,0.0000
007.291150          ,REP05,     ,,*,0.0000
007.291200          ,REP05,     ,,*,0.0000
007.291250          ,REP05,     ,,*,0.0000
007.291300          ,REP05,     ,,*,0.0000
007.291350          ,REP05,     ,,*,0.0000
007.291450          ,REP05,     ,,*,0.0000
007.291500          ,REP05,     ,,*,0.0000
007.291550          ,REP05,     ,,*,0.0000
007.880256          ,REP05,     ,,*,0.0000
007.880257          ,REP05,     ,,*,0.0000
007060Z             ,REP05,     ,,*,0.0000
007080Z             ,REP05,     ,,*,0.0000
008.60PH1           ,REP05,,,*,0.0000
008.60PH2           ,REP05,,,*,0.0000
008.61PH2           ,REP05,,,*,0.0000
008.6801            ,REP05,,,*,0.0000
008.6802            ,REP05,,,*,0.0000
008.6804            ,REP05,,,*,0.0000
008.680802          ,REP05,,,*,0.0000
008.69PH1           ,REP05,,,*,0.0000
008.69PH2           ,REP05,,,*,0.0000
008.69PH3           ,REP05,,,*,0.0000
008.73T1050         ,REP05,,,*,0.0000
008.73T1070         ,REP05,,,*,0.0000
008.73T1550         ,REP05,,,*,0.0000
008.73T2050         ,REP05,,,*,0.0000
008.73T2550         ,REP05,,,*,0.0000
008.73T2570         ,REP05,,,*,0.0000
008.73T2750         ,REP05,,,*,0.0000
008.73T3050         ,REP05,,,*,0.0000
008.73T4050         ,REP05,,,*,0.0000
008.78CH0850        ,REP05,,,*,0.0000
008.78CH1050        ,REP05,,,*,0.0000
008.78CH1350        ,REP05,,,*,0.0000
008.81PH2           ,REP05,,,*,0.0000
008.81PH3           ,REP05,,,*,0.0000
008.880257          ,REP05,,,*,0.0000
01.004              ,REP05,     ,,*,0.0000
01.015.10           ,REP05,,,*,0.0000
01.022              ,REP05,     ,,*,0.0000
01.030.01           ,REP05,     ,,*,0.0000
01.042              ,REP05,     ,,*,0.0000
01.044              ,REP05,     ,,*,0.0000
01.053              ,REP05,     ,,*,0.0000
01.057              ,REP05,     ,,*,0.0000
01.060.03           ,REP05,     ,,*,0.0000
01.064              ,REP05,     ,,*,0.0000
01.070.01           ,REP05,     ,,*,0.0000
01.083.02           ,REP05,     ,,*,0.0000
01.085              ,REP05,     ,,*,0.0000
01.086              ,REP05,     ,,*,0.0000
01.086.05           ,REP05,     ,,*,0.0000
01.086.06           ,REP05,     ,,*,0.0000
